method,accuracy,f1,auc,recall_at_20_percent_effort,effort_at_20_percent_LOC_recall,p_opt
LApredict(0.2tf),0.27617,0.43281,0.79789,0.76198,0.01819,0.93449
Deeper(0.2tf),0.7061,0.55535,0.74141,0.77562,0.01667,0.94102
LApredict,0.90821,0.16584,0.69381,0.62526,0.01975,0.79737
Deeper,0.78266,0.24763,0.68841,0.63368,0.02025,0.81006
LApredict,0.91277,0.05906,0.69381,0.62526,0.01975,0.79737
LApredict,0.90821,0.16584,0.69381,0.62526,0.01975,0.79737
LApredict,0.87007,0.23441,0.69381,0.62526,0.01975,0.79737
LApredict,0.08668,0.15953,0.69381,0.62526,0.01975,0.79737
LApredict,0.87007,0.23441,0.69381,0.62526,0.01975,0.79737
LApredict,0.87007,0.23441,0.69381,0.62526,0.01975,0.79737
LApredict,0.87007,0.23441,0.69381,0.62526,0.01975,0.79737
LApredict,0.87007,0.23441,0.69381,0.62526,0.01975,0.79737
LApredict,0.87007,0.23441,0.69381,0.62526,0.01975,0.79737
LApredict（新数据）,0.5,0.66667,0.4879,0.75556,0.0043,0.93207
Deeper（新数据）,0.78266,0.24763,0.68841,0.63368,0.02025,0.81006
,,,,,,
LApredict,0.90821,0.16584,0.69381,0.62526,0.01975,0.79737
Deeper,0.78266,0.24763,0.68841,0.63368,0.02025,0.81006
DeepJit（qt）,,,0.764,,,
DeepJit（openstack）,,,0.781,,,
LApredict(0.2tf),0.27617,0.43281,0.79789,0.76198,0.01819,0.93449
Deeper(0.2tf),0.7061,0.55535,0.74141,0.77562,0.01667,0.94102
LApredict（新数据）,0.5,0.66667,0.4879,0.75556,0.0043,0.93207
Deeper（新数据）,0.64444,0.56757,0.69877,0.75556,0.0043,0.9375
,,,,,,
method,accuracy,f1,auc,recall_at_20_percent_effort,effort_at_20_percent_LOC_recall,p_opt
LApredict,0.90821,0.16584,0.69381,0.62526,0.01975,0.79737
LApredict(0.2tf),0.27617,0.43281,0.79789,0.76198,0.01819,0.93449
LApredict（新数据）,0.5,0.66667,0.4879,0.75556,0.0043,0.93207
,,,,,,
Deeper,0.78266,0.24763,0.68841,0.63368,0.02025,0.81006
Deeper(0.2tf),0.7061,0.55535,0.74141,0.77562,0.01667,0.94102
Deeper（新数据）,0.64444,0.56757,0.69877,0.75556,0.0043,0.9375
,,,,,,
DeepJit（qt）,,,0.764,,,
DeepJit（openstack）,,,0.781,,,
